level,module_id,status,vendor,part_number,description,qty,unit,order_length_in,source_url,action_required
family,ALL-10,ORDERABLE,TNUTZ,EX-1010,"1x1 smooth 10 Series extrusion cut to 18 inches",80,pc,18,https://www.tnutz.com/product/ex-1010/,"Request drop-ship/commercial terms and cut tolerance"
family,ALL-10,ORDERABLE,TNUTZ,EX-1010,"1x1 smooth 10 Series extrusion cut to 22 inches",40,pc,22,https://www.tnutz.com/product/ex-1010/,"Request drop-ship/commercial terms and cut tolerance"
family,ALL-10,ENGINEERING_HOLD,80/20,4132,"10 Series gusseted inside corner bracket concept",240,pc,,https://8020.net/4132.html,"External-bracket option; do not buy production quantity until joint load test"
family,ALL-10,ENGINEERING_HOLD,80/20,3393,"1/4-20 x .500 bolt plus slide-in economy T-nut for 4132",480,pc,,https://8020.net/3393.html,"Two per 4132 per manufacturer; verify torque and vibration retention"
family,ALL-10,ENGINEERING_HOLD,TNUTZ,AF-010,"10 Series anchor-fastener alternate equivalent to 80/20 3395",0,pc,,https://www.tnutz.com/product/af-010/,"Alternative joint method requires 16 pieces/frame and counterbored extrusion; evaluate separately"
family,ALL-10,CUSTOM_REQUIRED,TBD,C-01,"Flat module anchor plate; 5052 aluminum prototype",20,pc,,,"Load case and vehicle interface unresolved"
family,ALL-10,SOURCE_REQUIRED,TNUTZ,HAN-015-AL,"Black aluminum carry handle with 10 Series mounting hardware",20,pc,,https://www.tnutz.com/product/han-015-al/,"Only 6 shown in stock; obtain load rating and volume availability"
family,ALL-10,ENGINEERING_HOLD,TNUTZ,LF-010-A,"M6 x 40 small-base leveling foot",40,pc,,https://www.tnutz.com/product-category/frame-to-floor/,"Requires M6 end taps and changes outside/vehicle interface; test before adoption"
family,ALL-10,SOURCE_REQUIRED,TBD,,"Removable side/back panel stock",1,lot,,,"Select panel material/thickness/fire-water performance"
family,ALL-10,ENGINEERING_HOLD,TNUTZ,GAS-010-A,"10 Series panel gasket for approximately 3/16in panels",195,ft,,https://www.tnutz.com/product/gas-010-a/,"Estimate includes 10 percent waste; final quantity depends on panel drawings"
family,ALL-10,ORDERABLE,TNUTZ,BUM-010-TS,"10 Series anti-skid rubber tread strip",74,ft,,https://www.tnutz.com/product/bum-010-ts/,"Estimate covers bottom perimeter with 10 percent waste; verify vehicle-floor compatibility"
module,BN-M01,ORDERABLE,Jetboil,0858941006274,"Genesis Basecamp Stove",1,pc,,https://jetboil.johnsonoutdoors.com/us/shop/stoves-systems/genesis-basecamp-stove,"Verify current stock and reseller terms; propane carried separately"
module,BN-M01,CUSTOM_REQUIRED,TBD,,"Flat deployable food-prep worktop 21.5x17.5",1,pc,,,"Select food-safe finish and hinge/latch system"
module,BN-M02,REJECTED_DOES_NOT_FIT,Milwaukee,48-22-8425,"PACKOUT Large Tool Box 22.1in wide",0,pc,,https://www.milwaukeetool.com/products/details/packout-large-tool-box/48-22-8425,"Exceeds 22in clear width by 0.1in; do not buy for this frame"
module,BN-M02,SOURCE_REQUIRED,TBD,,"Sealed pantry container <=21.5W x 16D x 11H",1,pc,,,"Find current orderable SKU and verify lid swing"
module,BN-M03,ORDERABLE_BUT_SOLD_OUT,Engel,MD-14F,"MD14 12V fridge/freezer 17.5x11.3x15.8",1,pc,,https://engelcoolers.com/products/md14-ems-ambulance-fridge,"Find in-stock authorized source or approved alternate"
module,BN-M03,SOURCE_REQUIRED,Engel,TSLPLATE+TSL17,"Transit slide lock combination listed for MD14F",1,set,,https://engelcoolers.com/products/transit-slide-lock,"Verify exact included hardware and deployed travel"
